Month of Data Date,State On/Off ,Index,Game Name,Parent Supplier,Game Category,"Month, Year of OGPD Release Date",Casinos (Sites),Avg. Average Bet,Median Avg Bet,Avg. Games Played Index,Avg. Coin In Index,Theo Win Index,Avg. Theo Win Index Game Category,% of Total GGR
Nov '25,,1,First Person Blackjack,Evolution,Live Casino,"August, 2021",4,$99.84,$99.72,2.09,56.7,50.47,13.60,0.21%
,,2,Blackjack,Igt,Table Game,"March, 2021",22,$71.86,$55.67,4.23,65.5,43.93,17.40,1.39%
,,3,Cash Eruption,Igt,Slot,"August, 2021",33,$1.84,$1.74,56.54,38.7,43.47,47.59,2.15%
,,4,Live Vip Baccarat,Playtech,Live Casino,"March, 2024",4,$170.64,$43.00,0.59,36.5,34.13,9.20,0.16%
,,5,Huff N Even More Puff,Light & Wonder,Slot,"August, 2025",33,$2.24,$2.04,26.00,22.2,29.57,32.38,1.33%
,,6,Live Dealer Speed Baccarat,Evolution,Live Casino,"May, 2023",20,$103.86,$88.09,2.54,41.9,29.24,7.88,0.59%
,,7,Gold Blitz Fortunes,Games Global,Slot,"October, 2025",18,$1.18,$1.17,37.31,19.3,28.00,30.65,1.35%
,,8,Live Dealer Single Zero Roulette,Evolution,Live Casino,"July, 2021",2,$176.86,$176.86,0.34,29.7,27.39,7.38,0.05%
,,9,Blackjack Live,Evolution,Live Casino,"August, 2021",14,$104.42,$112.48,3.06,55.5,24.18,6.52,0.82%
,,10,American Roulette Live,Evolution,Live Casino,"June, 2023",5,$41.96,$39.42,1.07,20.5,23.51,6.33,0.15%
,,11,12 Fortune Dragons,Games Global,Slot,"October, 2025",21,$1.38,$1.34,25.00,15.6,21.79,23.86,0.96%
,,12,Premium Blackjack Pro,Playtech,Table Game,"January, 2024",2,$59.63,$59.63,4.18,46.6,21.34,8.45,0.05%
,,13,Live Dealer Lightning Roulette,Evolution,Live Casino,"March, 2021",22,$28.11,$27.60,1.94,18.9,21.29,5.74,0.90%
,,14,Live Dealer Crazy Time,Evolution,Live Casino,"December, 2023",32,$18.23,$15.35,3.28,20.4,20.66,5.57,0.93%
,,15,Kong 3 Even Bigger Bonus,White Hat Studios,Slot,"October, 2025",14,$1.00,$0.96,22.78,12.1,17.46,19.12,0.78%
,,16,Lion Link Wealth Of The Dragon,Light & Wonder,Slot,"August, 2025",19,$1.37,$1.35,22.29,13.6,17.36,19.01,0.50%
,,17,Blackjack Surrender,Igt,Table Game,"October, 2021",19,$88.46,$39.87,3.72,44.2,16.82,6.66,0.21%
,,18,Live Dealer Craps,Evolution,Live Casino,"November, 2021",20,$61.62,$13.42,4.30,32.8,16.79,4.52,0.46%
,,19,Whirl Win,Bragg Gaming Group,Slot,"October, 2025",7,$1.22,$1.30,20.40,12.1,16.77,18.36,0.34%
,,20,Live Dealer Roulette,Evolution,Live Casino,"March, 2021",32,$50.37,$36.49,1.59,14.6,16.34,4.40,0.67%
,,21,Hypernova Megaways,Reel Play,Slot,"March, 2021",33,$1.59,$1.47,23.96,15.8,15.23,16.67,0.66%
,,22,Capital Gains,Ags,Slot,"April, 2021",30,$2.27,$2.14,16.52,15.0,15.11,16.54,0.69%
,,23,Cleopatra,Igt,Slot,"March, 2021",33,$1.20,$1.11,24.64,12.3,14.98,16.40,0.78%
,,24,Megajackpots Cash Eruption,Igt,Slot,"September, 2025",14,$2.99,$2.64,6.85,7.2,14.66,16.05,0.34%
,,25,Mystery Of The Lamp Enchanted Palace,Igt,Slot,"November, 2025",30,$2.32,$2.20,9.77,9.8,14.47,15.85,0.60%
,,26,Cash Eruption High Stakes,Igt,Slot,"June, 2025",33,$65.47,$23.22,0.86,11.7,13.50,14.78,0.55%
,,27,Gold Blitz Ultimate,Games Global,Slot,"May, 2025",22,$1.89,$1.63,11.27,9.7,13.20,14.45,0.40%
,,28,88 Fortunes,Light & Wonder,Slot,"March, 2021",33,$3.43,$3.04,10.77,13.2,13.16,14.41,0.53%
,,29,Live Dealer Baccarat,Evolution,Live Casino,"June, 2021",25,$75.69,$65.50,1.36,31.5,13.05,3.52,0.63%
,,30,Chicks In Vegas,Games Global,Slot,"September, 2025",18,$1.31,$1.28,17.30,9.2,13.04,14.28,0.43%
,,31,Huff N More Puff,Light & Wonder,Slot,"January, 2025",33,$2.72,$2.36,10.58,8.6,12.77,13.98,0.53%
,,32,Mo Mummy Mighty Pyramid,Aristocrat,Slot,"February, 2025",18,$2.42,$2.34,11.58,8.6,12.48,13.66,0.33%
,,33,Wolf It Up Again,Inspired,Slot,"November, 2025",23,$1.52,$1.38,15.01,8.7,12.46,13.64,0.44%
,,34,Super Crystal 7s,Ainsworth,Slot,"March, 2021",5,$19.51,$1.67,0.05,9.2,12.44,13.62,0.16%
,,35,7s Fire Blitz Hot Stepper,White Hat Studios,Slot,"January, 2025",31,$1.72,$1.52,14.29,9.9,12.16,13.31,0.71%
,,36,Huff N Lots Of Puff,Light & Wonder,Slot,"November, 2025",26,$1.45,$1.33,8.63,8.7,11.65,12.76,0.44%
,,37,Craps,Internal,Table Game,"April, 2021",7,$7.88,$6.47,0.63,3.3,11.47,4.54,0.24%
,,38,Vip Blackjack,Playtech,Table Game,"January, 2024",2,$138.07,$138.07,0.79,12.3,11.31,4.48,0.03%
,,39,Mo Mummy Valley Of Riches,Aristocrat,Slot,"July, 2025",17,$2.30,$2.32,9.16,8.5,11.18,12.25,0.42%
,,40,Cash Eruption Slingo,Gaming Realms,Slot,"October, 2025",31,$13.31,$10.18,4.43,10.4,11.18,12.24,0.42%
,,41,3x Ultra Diamond,Ags,Slot,"May, 2024",30,$4.03,$2.06,5.46,7.9,10.74,11.76,0.37%
,,42,Heads Up Hold Em,Playtech,Slot,"January, 2024",2,$41.14,$41.14,1.01,10.5,10.45,11.44,0.02%
,,43,Adventures Beyond Wonderland Live,Playtech,Live Casino,"January, 2025",2,$10.07,$10.07,2.84,9.3,10.42,2.81,0.01%
,,44,Bao Zhu Zhao Fu Jade Celebration,Aristocrat,Slot,"October, 2025",8,$2.18,$2.13,7.95,7.2,10.18,11.15,0.11%
,,45,7s Fire Blitz Power 5 Jackpot Royale Express,White Hat Studios,Slot,"June, 2025",25,$1.72,$1.62,11.07,7.9,9.73,10.66,0.42%
,,46,Diamond Nudge,Ags,Slot,"October, 2025",28,$1.78,$1.78,8.42,6.2,9.60,10.52,0.32%
,,47,Bigger Piggy Bank,Inspired,Slot,"July, 2025",25,$1.25,$1.28,14.60,6.8,9.53,10.43,0.32%
,,48,Rakin Bacon Jackpots Bonus Board,Ags,Slot,"September, 2025",26,$1.56,$1.49,8.83,6.4,9.49,10.40,0.49%
,,49,Big Money Frenzy Jackpot Royale Express,White Hat Studios,Slot,"September, 2025",4,$1.24,$1.10,12.77,5.2,9.00,9.85,0.05%
,,50,Single Player Blackjack - 3 Hands,Internal,Table Game,"April, 2021",4,$62.64,$61.95,2.99,38.2,8.95,3.55,0.00%
,,51,Rakin Bacon Jackpots Bonus Wheel,Ags,Slot,"August, 2025",30,$1.61,$1.63,10.15,6.7,8.86,9.70,0.37%
,,52,Werewolf It Up,Inspired,Slot,"October, 2025",26,$1.29,$1.07,14.79,6.2,8.71,9.54,0.39%
,,53,Jin Ji Bao Xi Endless Treasure,Light & Wonder,Slot,"March, 2021",33,$3.14,$2.85,6.04,8.3,8.64,9.46,0.32%
,,54,Pay Pig 10k Ways,Reel Play,Slot,"November, 2025",13,$1.46,$1.35,10.87,6.5,8.59,9.41,0.31%
,,55,7s Fire Blitz Win Boost,White Hat Studios,Slot,"September, 2025",28,$1.63,$1.40,7.93,5.9,8.53,9.34,0.33%
,,56,Majestic Fury Megaways Jackpot Royale Express,White Hat Studios,Slot,"October, 2025",8,$0.89,$0.88,12.31,4.4,8.31,9.10,0.07%
,,57,Blackjack,Playtech,Table Game,"January, 2022",5,$128.11,$85.30,1.77,9.4,8.11,3.21,0.05%
,,58,7s Fire Blitz Hot Stepper Megaways,White Hat Studios,Slot,"July, 2025",32,$2.04,$1.79,7.81,6.0,8.08,8.85,0.34%
,,59,Wolf It Up,Inspired,Slot,"December, 2024",27,$1.45,$1.34,11.54,5.9,7.99,8.75,0.29%
,,60,10000 Wonders 10k Ways,Reel Play,Slot,"January, 2022",33,$1.68,$1.56,11.84,8.3,7.86,8.61,0.34%
,,61,Adventures Beyond Wonderland,Playtech,Live Casino,"December, 2023",3,$12.93,$11.88,1.99,8.8,7.86,2.12,0.02%
,,62,Cashback Blackjack,Playtech,Table Game,"April, 2023",2,$18.69,$18.69,1.09,8.1,7.82,3.10,0.02%
,,63,NFL Big Kick LuckyTap ™,Design Works Gaming,Instant Win,"September, 2022",19,$1.39,$1.35,22.70,8.1,7.73,14.39,0.58%
,,64,Baccarat,Evolution,Live Casino,"March, 2021",28,$46.88,$42.54,1.22,20.5,7.65,2.06,0.28%
,,65,Wheel Of Fortune Diamond Spins 2x Wild,Igt,Slot,"October, 2024",25,$2.69,$1.34,7.68,4.8,7.29,7.99,0.27%
,,66,Blackjack,Internal,Table Game,"July, 2021",12,$31.26,$27.79,6.65,23.5,7.28,2.88,0.13%
,,67,The Flintstones,White Hat Studios,Slot,"November, 2024",27,$0.84,$0.71,26.45,6.0,7.20,7.88,0.54%
,,68,Toymaker Magic,Light & Wonder,Slot,"November, 2025",7,$1.03,$1.13,9.56,5.2,7.19,7.88,0.07%
,,69,Gobble Gobble Gobble,Evolution,Slot,"October, 2025",13,$0.98,$1.01,11.79,5.4,7.12,7.79,0.12%
,,70,333 Boom Banks Power Combo,Games Global,Slot,"March, 2025",22,$1.30,$1.17,10.61,5.3,7.08,7.75,0.25%
,,71,3 Hot Chilli Peppers,1x2 Network,Slot,"April, 2025",5,$1.27,$1.29,9.85,6.4,7.05,7.72,0.05%
,,72,Multihand Blackjack Poker Pairs With Surrender,Igt,Table Game,"December, 2021",8,$36.48,$25.04,0.83,11.8,6.87,2.72,0.03%
,,73,Big Piggy Bank,Inspired,Slot,"March, 2024",26,$1.41,$1.10,9.94,4.9,6.73,7.37,0.25%
,,74,Energy Joker Hold And Win,Octoplay,Slot,"July, 2025",4,$1.51,$1.43,8.30,6.7,6.64,7.26,0.02%
,,75,Saint Nicked 3 Present Tense,White Hat Studios,Slot,"November, 2025",24,$1.06,$1.02,7.48,4.2,6.63,7.26,0.26%
,,76,Mayan Fusion,Games Global,Slot,"October, 2025",18,$1.52,$1.53,7.68,4.4,6.58,7.20,0.19%
,,77,Fire And Roses Joker 2 All In,Games Global,Slot,"November, 2025",21,$1.33,$1.31,6.59,4.1,6.55,7.17,0.28%
,,78,Diamond Charge Hold And Win,1x2 Network,Slot,"October, 2025",4,$1.05,$1.08,9.21,4.4,6.39,7.00,0.05%
,,79,Blackjack,Evolution,Table Game,"March, 2021",28,$56.60,$50.64,2.31,25.3,6.22,2.46,0.19%
,,80,Diamond Cash Mighty Elephant Win Ways,Greentube,Slot,"September, 2024",5,$3.28,$1.80,1.55,4.9,6.19,6.77,0.02%
,,81,Megajackpots Pixies Of The Glade,Igt,Slot,"November, 2025",12,$4.07,$1.87,1.88,3.2,6.18,6.77,0.08%
,,82,European Roulette Vip,Evolution,Live Casino,"June, 2023",12,$118.60,$86.22,0.18,7.6,6.14,1.66,0.08%
,,83,Oink Oink Oink,Playtech,Slot,"January, 2025",23,$1.09,$1.02,11.19,4.7,6.08,6.66,0.15%
,,84,Wheel Of Fortune Pink Diamond,Igt,Slot,"October, 2025",5,$3.84,$3.87,1.96,2.9,6.08,6.66,0.04%
,,85,Mystery Of The Lamp Treasure Oasis,Igt,Slot,"September, 2024",33,$2.64,$2.34,4.41,4.5,6.03,6.60,0.27%
,,86,Parthenon Quest For Immortality,Evolution,Slot,"September, 2021",32,$1.91,$1.63,5.80,4.4,6.03,6.60,0.25%
,,87,Mad Hit Mr Coin,Ruby Play,Slot,"September, 2025",6,$1.58,$1.49,6.36,4.2,5.91,6.48,0.03%
,,88,Bonanza,Evolution,Slot,"March, 2021",23,$1.87,$1.83,11.40,5.9,5.90,6.46,0.16%
,,89,Lightning Roulette,Evolution,Live Casino,"March, 2021",24,$23.45,$19.48,0.70,7.2,5.88,1.58,0.15%
,,90,Timber Wolf Triple Power,Aristocrat,Slot,"November, 2025",14,$1.70,$1.65,5.11,4.1,5.83,6.39,0.15%
,,91,Cash Volt,Evolution,Slot,"August, 2021",32,$1.13,$1.04,9.49,3.8,5.75,6.30,0.22%
,,92,Mad Hit Devil,Ruby Play,Slot,"August, 2025",6,$1.63,$1.66,5.48,4.4,5.70,6.24,0.02%
,,93,Roulette,Igt,Table Game,"April, 2021",29,$30.19,$17.92,0.50,6.9,5.69,2.25,0.30%
,,94,777 Hot Reels Supercharged,Octoplay,Slot,"June, 2025",5,$2.37,$2.61,4.81,3.9,5.68,6.22,0.04%
,,95,Extra Chilli Megaways,Evolution,Slot,"March, 2021",31,$2.26,$1.84,7.88,6.0,5.56,6.09,0.18%
,,96,Majestic Fury Win Stepper,White Hat Studios,Slot,"September, 2025",22,$1.20,$1.04,9.85,3.8,5.53,6.05,0.20%
,,97,Bullion Blitz,White Hat Studios,Slot,"October, 2025",22,$1.25,$1.20,7.72,3.6,5.52,6.05,0.18%
,,98,Cops And Robbers Bigger Big Money,Inspired,Slot,"January, 2025",5,$0.75,$0.49,27.10,3.8,5.44,5.96,0.04%
,,99,Vip Bet Stacker Blackjack,Evolution,Table Game,"September, 2025",3,$607.29,$612.66,0.04,8.0,5.41,2.14,0.02%
,,100,J Mania Lucky Pyggs,Ruby Play,Slot,"October, 2025",6,$1.83,$1.46,9.90,4.5,5.30,5.80,0.03%
,,101,Double Top Dollar,Igt,Slot,"April, 2025",33,$2.72,$2.35,5.29,4.2,5.26,5.76,0.24%
,,102,Fortune Coin,Igt,Slot,"March, 2021",33,$2.40,$1.99,4.07,3.8,5.26,5.75,0.24%
,,103,Cherry Blossoms,Light & Wonder,Slot,"March, 2021",6,$3.22,$3.12,3.30,4.8,5.23,5.73,0.01%
,,104,Piggy Payouts Bank Buster LuckyTap ™,Design Works Gaming,Instant Win,"March, 2022",19,$1.75,$1.66,6.85,5.4,5.21,9.70,0.16%
,,105,5 Hand Blackjack,Igt,Table Game,"July, 2024",19,$23.35,$18.91,1.21,15.0,5.15,2.04,0.13%
,,106,Infinite Blackjack,Evolution,Live Casino,"March, 2021",19,$28.35,$25.60,1.33,14.5,5.12,1.38,0.19%
,,107,Energy Coins Hold And Win,Playson,Slot,"July, 2025",5,$1.70,$1.45,9.65,5.0,5.09,5.57,0.04%
,,108,Bonanza Megaways,Evolution,Slot,"June, 2023",9,$2.34,$2.22,6.91,5.1,5.09,5.57,0.05%
,,109,European Roulette Vip,Evolution,Table Game,"June, 2023",9,$108.03,$86.69,0.25,6.6,5.04,2.00,0.05%
,,110,Lightning Gorilla,Light & Wonder,Slot,"August, 2022",33,$3.46,$2.52,3.25,5.2,5.04,5.52,0.21%
,,111,Turkey Burst,Aristocrat,Slot,"October, 2025",11,$1.28,$1.19,7.84,4.3,5.02,5.49,0.15%
,,112,Cats,Igt,Slot,"March, 2021",33,$1.89,$1.45,4.50,3.6,5.01,5.48,0.22%
,,113,Breaking Bad Collect Em And Link,Playtech,Slot,"September, 2024",19,$1.52,$1.44,5.08,3.3,4.98,5.46,0.16%
,,114,Mega Coins,Red Rake Gaming,Slot,"November, 2025",8,$1.21,$1.12,8.35,4.4,4.97,5.45,0.06%
,,115,Pop A Shot LuckyTap™,Design Works Gaming,Instant Win,"July, 2023",19,$1.49,$1.33,6.82,4.7,4.97,9.25,0.16%
,,116,Ducky Bucks,Gamecode,Slot,"November, 2025",15,$1.58,$1.48,5.90,4.0,4.96,5.43,0.14%
,,117,Grand Link Express Hold And Win,Octoplay,Slot,"September, 2025",4,$1.63,$1.62,4.81,2.9,4.93,5.40,0.03%
,,118,Links Of Ra 2,Games Global,Slot,"November, 2025",11,$1.45,$1.36,3.22,2.8,4.91,5.38,0.08%
,,119,King Kong Cash Even Bigger Bananas,White Hat Studios,Slot,"September, 2025",15,$0.96,$1.03,7.42,3.0,4.85,5.31,0.11%
,,120,The Racaroon,Playtech,Slot,"November, 2025",13,$1.24,$1.28,5.86,3.1,4.82,5.28,0.14%
,,121,Atlantis Megaways,Reel Play,Slot,"June, 2021",31,$1.59,$1.39,8.12,5.0,4.82,5.28,0.17%
,,122,Dragon Power,Bragg Gaming Group,Slot,"March, 2021",17,$2.39,$2.17,5.36,4.7,4.79,5.25,0.08%
,,123,Red Door Roulette,Evolution,Live Casino,"May, 2025",5,$14.03,$11.70,0.88,3.2,4.78,1.29,0.03%
,,124,Blue Wizard Collect Em And Link,Playtech,Slot,"October, 2025",19,$1.25,$1.27,5.58,3.2,4.78,5.23,0.23%
,,125,Craps,Evolution,Table Game,"August, 2022",6,$16.93,$19.47,2.38,14.9,4.73,1.87,0.02%
,,126,Money Link The Great Immortals,Light & Wonder,Slot,"August, 2023",33,$2.25,$2.08,3.79,3.2,4.68,5.12,0.21%
,,127,Wolf Strike Hold And Win Extra,1x2 Network,Slot,"July, 2025",5,$1.22,$1.20,7.21,4.6,4.67,5.12,0.03%
,,128,7s Fire Blitz Hotstepper Jackpot Royale Express,White Hat Studios,Slot,"July, 2025",23,$1.57,$1.54,4.79,3.2,4.64,5.08,0.16%
,,129,Straight Cash,Ags,Slot,"November, 2024",30,$3.60,$3.46,1.93,3.2,4.63,5.07,0.22%
,,130,Gonzos Quest 2 Return To El Dorado,Evolution,Slot,"October, 2025",25,$2.33,$2.10,3.09,3.3,4.60,5.04,0.24%
,,131,Magic Treasures Tiger,Igt,Slot,"November, 2025",26,$1.67,$1.47,4.89,3.4,4.56,4.99,0.17%
,,132,Crazy Coin Flip,Evolution,Table Game,"December, 2023",6,$2.89,$1.86,3.88,4.6,4.52,1.79,0.03%
,,133,Live Dealer Three Card Poker,Evolution,Live Casino,"March, 2021",31,$30.56,$25.14,0.64,6.2,4.49,1.21,0.13%
,,134,12 Masks Of Fire Drums,Games Global,Slot,"November, 2024",22,$1.46,$1.38,6.04,3.3,4.47,4.90,0.16%
,,135,Bankin Even More Bacon Jackpot Royale Express,White Hat Studios,Slot,"July, 2025",24,$1.24,$1.14,6.16,2.7,4.47,4.89,0.16%
,,136,Devil Cash Uncovered,Games Global,Slot,"September, 2025",19,$1.52,$1.56,5.57,2.6,4.46,4.89,0.16%
,,137,Power Keno,Igt,Bingo/Keno,"October, 2024",10,$0.93,$0.75,7.35,3.6,4.46,4.18,0.02%
,,138,Mega Diamond,Ags,Slot,"July, 2023",30,$1.74,$1.72,4.08,2.9,4.46,4.88,0.19%
,,139,Vip Blackjack,Evolution,Table Game,"June, 2023",12,$307.40,$304.36,0.57,11.8,4.45,1.76,0.06%
,,140,Charming Ladys Boom,Greentube,Slot,"March, 2023",20,$1.57,$1.39,5.97,3.6,4.44,4.86,0.11%
,,141,Ultimate Fire Link China Street,Light & Wonder,Slot,"June, 2022",33,$1.97,$1.81,5.68,4.4,4.42,4.84,0.24%
,,142,Fortune Bao Bao Jackpot Win And Spin,Inspired,Slot,"July, 2024",3,$1.37,$1.31,4.21,2.2,4.41,4.83,0.01%
,,143,Gold Cash Freespins,Inspired,Slot,"March, 2021",26,$1.78,$1.35,4.83,3.6,4.38,4.80,0.17%
,,144,5 Flaming Dollars,4theplayer,Slot,"September, 2025",24,$1.41,$1.49,4.26,3.1,4.34,4.75,0.18%
,,145,Golden Winner Grand Chance,Inspired,Slot,"September, 2025",23,$1.21,$1.09,8.00,3.1,4.33,4.74,0.10%
,,146,Cash Spree Phoenix,Games Global,Slot,"August, 2025",19,$1.82,$1.58,4.74,3.1,4.32,4.73,0.20%
,,147,Buffalo And Friends,Aristocrat,Slot,"July, 2025",16,$1.97,$1.70,4.25,2.9,4.27,4.67,0.16%
,,148,Platinum Blackjack Pro,Evolution,Table Game,"July, 2022",2,$139.47,$139.47,0.23,6.0,4.27,1.69,0.01%
,,149,Cash Machine Jackpots,Everi,Slot,"July, 2024",25,$12.59,$10.26,1.01,3.5,4.26,4.67,0.17%
,,150,Infinite Blackjack,Evolution,Table Game,"March, 2021",11,$32.59,$27.90,0.87,11.5,4.25,1.68,0.04%
,,151,Bao Zhu Zhao Fu Red Festival,Aristocrat,Slot,"January, 2025",15,$2.45,$2.33,3.94,3.5,4.23,4.63,0.10%
,,152,Wolf Prime Deluxe,Games Global,Slot,"November, 2025",18,$1.48,$1.33,3.64,2.7,4.22,4.63,0.14%
,,153,10x Cash,Ags,Slot,"September, 2025",30,$1.65,$1.46,3.77,2.8,4.18,4.58,0.15%
,,154,Big Rich Turkeys,Evolution,Slot,"November, 2025",25,$1.06,$1.04,6.77,2.9,4.14,4.53,0.11%
,,155,Side Bet Blackjack,Internal,Table Game,"June, 2023",6,$31.01,$22.50,2.35,23.8,4.10,1.62,0.02%
,,156,3 Lucky Maneki Hold And Spin,Aristocrat,Slot,"October, 2025",12,$1.30,$1.30,5.13,2.9,4.06,4.44,0.09%
,,157,Pirots,Light & Wonder,Slot,"April, 2025",11,$3.00,$2.45,2.73,2.5,3.99,4.37,0.04%
,,158,American Red Door Roulette,Evolution,Live Casino,"May, 2025",8,$15.12,$13.67,0.53,3.3,3.98,1.07,0.07%
,,159,Vip Bet Stacker Blackjack,Evolution,Live Casino,"September, 2025",4,$356.58,$306.95,0.04,4.8,3.94,1.06,0.01%
,,160,Firecracker Frenzy Empress Wealth,Greentube,Slot,"October, 2025",18,$1.33,$1.32,5.39,2.8,3.93,4.30,0.12%
,,161,Majestic Fury Megaways,White Hat Studios,Slot,"October, 2025",15,$1.22,$1.27,6.20,3.0,3.91,4.28,0.10%
,,162,88 Fortunes Jackpot Festival,Light & Wonder,Slot,"December, 2022",11,$3.87,$2.89,2.52,3.8,3.89,4.26,0.09%
,,163,Lucky Fire Blitz Hotstepper,White Hat Studios,Slot,"November, 2025",25,$1.28,$1.26,5.41,3.0,3.88,4.24,0.14%
,,164,Blood Moon Hold And Win,1x2 Network,Slot,"October, 2025",5,$1.07,$1.14,6.91,3.6,3.86,4.23,0.03%
,,165,Cash Machine,Everi,Slot,"March, 2021",32,$9.22,$8.76,0.90,3.2,3.81,4.17,0.18%
,,166,3 Wild Aliens,1x2 Network,Slot,"October, 2025",4,$1.18,$1.26,7.19,3.7,3.79,4.15,0.02%
,,167,Coin Fury,Greentube,Slot,"October, 2025",15,$1.12,$1.10,4.99,2.6,3.76,4.12,0.08%
,,168,Blackjack Poker And Pairs,Igt,Table Game,"April, 2021",23,$26.97,$21.30,1.08,8.6,3.74,1.48,0.12%
,,169,Black Diamond Deluxe,Everi,Slot,"January, 2023",25,$16.41,$5.80,1.32,3.1,3.72,4.08,0.13%
,,170,Whitney Houston,Igt,Slot,"August, 2025",33,$1.86,$1.67,3.68,2.5,3.71,4.06,0.16%
,,171,Thundering Gorilla,Light & Wonder,Slot,"February, 2024",29,$3.44,$2.82,1.76,3.0,3.66,4.01,0.13%
,,172,Buffalo,Aristocrat,Slot,"August, 2023",20,$1.96,$1.71,3.55,2.8,3.66,4.00,0.13%
,,173,Thunder Blitz,Bragg Gaming Group,Slot,"October, 2025",21,$1.58,$1.56,3.56,2.5,3.65,4.00,0.14%
,,174,3 Porky Banks Hold And Win Extra,1x2 Network,Slot,"May, 2025",5,$1.15,$1.08,5.91,3.7,3.65,3.99,0.01%
,,175,Big Catch Even Bigger Bass,White Hat Studios,Slot,"October, 2025",21,$1.11,$1.06,5.32,2.4,3.63,3.98,0.13%
,,176,Live Dealer Crazy Coin Flip,Evolution,Live Casino,"December, 2023",22,$6.69,$1.96,2.03,3.9,3.62,0.98,0.09%
,,177,Ancient Fortunes Poseidon Megaways,Games Global,Slot,"September, 2025",18,$1.17,$1.07,5.36,2.5,3.62,3.96,0.12%
,,178,Game King Video Poker,Igt,Video Poker,"March, 2021",33,$4.10,$2.41,8.24,9.9,3.60,2.53,0.17%
,,179,Atlantis 10k Ways,Reel Play,Slot,"July, 2025",25,$1.68,$1.47,3.68,2.7,3.60,3.94,0.11%
,,180,Live Dealer Baccarat,Playtech,Live Casino,"November, 2024",3,$29.81,$26.74,0.76,10.6,3.59,0.97,0.01%
,,181,Da Vinci Diamonds,Igt,Slot,"March, 2021",33,$3.46,$2.79,2.30,3.0,3.57,3.91,0.21%
,,182,War,Ags,Table Game,"March, 2024",13,$25.70,$7.57,0.30,5.8,3.57,1.41,0.06%
,,183,Tiger And Dragon,Igt,Slot,"September, 2025",18,$2.16,$2.00,2.34,2.1,3.57,3.90,0.06%
,,184,Lucky Larrys Lobstermania Slingo,Gaming Realms,Slot,"May, 2021",32,$9.87,$8.76,2.43,4.1,3.56,3.89,0.19%
,,185,Buffalo Gold Collection,Aristocrat,Slot,"November, 2023",20,$1.96,$1.90,3.30,2.5,3.54,3.88,0.14%
,,186,Red Door Roulette,Evolution,Table Game,"May, 2025",7,$15.42,$15.60,0.86,4.7,3.54,1.40,0.03%
,,187,Diamond Flash,Bragg Gaming Group,Slot,"October, 2025",10,$1.18,$1.15,4.62,2.4,3.50,3.84,0.05%
,,188,Cerberus Gold,Games Global,Slot,"November, 2024",20,$1.58,$1.53,4.56,2.5,3.49,3.82,0.13%
,,189,Coin Trio Fortune Trails,Aristocrat,Slot,"August, 2025",16,$2.34,$2.17,3.29,2.8,3.47,3.79,0.09%
,,190,Bao Zhu Zhao Fu Blue Festival,Aristocrat,Slot,"April, 2025",15,$2.53,$2.30,3.53,2.9,3.45,3.78,0.07%
,,191,Clems Gems,Ags,Slot,"November, 2025",27,$1.93,$1.81,2.68,2.2,3.41,3.74,0.10%
,,192,Le Bandit,Hacksaw Gaming,Slot,"September, 2024",18,$2.87,$2.59,2.13,2.6,3.32,3.64,0.08%
,,193,First Person Lightning Roulette,Evolution,Live Casino,"June, 2021",4,$19.38,$19.45,0.61,2.6,3.31,0.89,0.01%
,,194,Ultimate Fire Link Cash Falls Olvera Street,Light & Wonder,Slot,"March, 2024",29,$1.54,$1.44,4.22,2.7,3.29,3.60,0.15%
,,195,Craps,Evolution,Live Casino,"August, 2022",12,$12.92,$12.15,3.32,15.2,3.26,0.88,0.09%
,,196,Mega Fire Blaze Breaking Bad,Playtech,Slot,"November, 2025",17,$1.50,$1.46,3.39,2.2,3.26,3.57,0.09%
,,197,Cops N Robbers Bigger Big Money,Inspired,Slot,"November, 2024",19,$1.36,$1.17,4.37,2.5,3.26,3.57,0.08%
,,198,Triple Stones,Gamecode,Slot,"June, 2024",16,$1.82,$1.56,4.23,3.5,3.24,3.55,0.13%
,,199,The Flintstones Jackpot Royale,White Hat Studios,Slot,"July, 2025",16,$1.75,$1.60,2.43,2.2,3.23,3.54,0.10%
,,200,Cash Lamps,Evolution,Slot,"November, 2025",23,$1.14,$1.26,4.08,2.4,3.22,3.53,0.07%
,,201,Golden Halloween Winner,Inspired,Slot,"September, 2024",24,$1.44,$1.02,4.73,2.2,3.21,3.52,0.10%
,,202,Egglink Dolphin Gold,Light & Wonder,Slot,"September, 2025",23,$2.59,$2.17,2.54,2.6,3.15,3.45,0.10%
,,203,Cobra Hearts,Konami,Slot,"October, 2021",25,$1.58,$1.38,3.16,2.2,3.13,3.43,0.10%
,,204,Double Beef Up The Bonus,Games Global,Slot,"November, 2025",18,$1.30,$1.19,3.20,1.9,3.13,3.43,0.10%
,,205,Platinum 8x8x8x,Ags,Slot,"December, 2023",30,$2.13,$1.92,2.29,2.1,3.13,3.42,0.15%
,,206,Money Link Egyptian Riches,Light & Wonder,Slot,"October, 2025",23,$1.56,$1.49,3.33,2.2,3.12,3.42,0.14%
,,207,Hot Offer 2,Bang Bang Games,Slot,"September, 2025",15,$1.15,$1.10,9.78,2.2,3.12,3.42,0.08%
,,208,Divine Fortune,Evolution,Slot,"March, 2021",32,$2.16,$1.85,4.27,3.8,3.12,3.41,0.12%
