Month of Data Date,State On/Off ,Index,Game Name,Parent Supplier,Game Category,"Month, Year of OGPD Release Date",Casinos (Sites),Avg. Average Bet,Median Avg Bet,Avg. Games Played Index,Avg. Coin In Index,Theo Win Index,Avg. Theo Win Index Game Category,% of Total GGR
,,"2,749",Crush Dynasty,Everi,Instant Win,"August, 2024",24,$3.49,$2.97,0.03,0.1,0.09,0.17,0.00%
,,"2,750",Emerald Dream,Ainsworth,Slot,"March, 2021",7,$2.80,$2.60,0.05,0.1,0.09,0.10,0.00%
,,"2,751",Turbo Multifire Roulette,Games Global,Table Game,"January, 2025",4,$10.09,$8.85,0.02,0.1,0.09,0.04,0.00%
,,"2,752",Volcanic Rock Fire Twin Fever,Konami,Slot,"March, 2021",15,$1.51,$1.45,0.17,0.1,0.09,0.10,0.00%
,,"2,753",3 Clown Monty,Play N Go,Slot,"March, 2023",4,$1.25,$1.00,0.08,0.1,0.09,0.10,0.00%
,,"2,754",Riches Of Aus Hold And Win,Igt,Slot,"July, 2023",12,$2.13,$1.40,0.16,0.1,0.09,0.10,0.00%
,,"2,755",Armadillo Artie Gone Wild,Design Works Gaming,Slot,"December, 2021",16,$1.51,$1.07,0.18,0.1,0.09,0.10,0.00%
,,"2,756",X Wheel Chili,Aruze,Slot,"March, 2025",6,$1.99,$1.63,0.11,0.1,0.09,0.10,0.00%
,,"2,757",Dj Wild Stud Poker,Light & Wonder,Video Poker,"March, 2021",8,$41.79,$13.77,0.05,0.4,0.09,0.06,0.00%
,,"2,758",Ice Heist 2 The Museum Snatch A Roo,Igt,Slot,"September, 2025",31,$1.27,$1.03,0.13,0.1,0.09,0.10,0.00%
,,"2,759",9 Loaded Pots Hyperspins,Games Global,Slot,"February, 2022",13,$1.47,$1.16,0.11,0.1,0.09,0.10,0.00%
,,"2,760",Firebird Fortunes,Games Global,Slot,"February, 2025",18,$1.06,$1.01,0.13,0.1,0.09,0.10,0.00%
,,"2,761",Calacas Cash,Greentube,Slot,"October, 2024",11,$0.99,$0.91,0.15,0.1,0.09,0.10,0.00%
,,"2,762",Coin O Mania,Igt,Slot,"June, 2021",17,$1.78,$1.43,0.11,0.1,0.09,0.10,0.00%
,,"2,763",Buckshot Wilds,Evolution,Slot,"July, 2024",18,$3.32,$1.84,0.03,0.1,0.09,0.10,0.00%
,,"2,764",Golden Goose Megaways,Evolution,Slot,"March, 2025",28,$1.89,$1.54,0.09,0.1,0.09,0.10,0.00%
,,"2,765",Magnificent Power Zeus,Games Global,Slot,"September, 2024",17,$1.54,$1.06,0.08,0.1,0.09,0.10,0.00%
